run_id,task_id,agent_id,condition,environment_instance,block,scheduled_order_within_task_agent,status,criterion_count,accessed_count,not_accessed_count,unknown_count,pass_count,model_version_string,files_inspected,tool_calls,tool_calls_before_first_access,run_record_sha256
run-146,T08,opus5,world_first,world-first,1,2,completed,5,3,1,1,4,claude-opus-5,18,21,19,ca928b79041e7d31d8cf971ab32f4b10b558f088f3e53efb8fcfd5c724df847d
run-147,T08,opus5,task_first,task-first curator 1,1,3,completed,5,5,0,0,4,claude-opus-5,12,14,11,bfb95a507f1c13c9ed6a641745ebfe064f88ce979de0298a4204fcd6d2fbe88c
run-148,T08,opus5,task_first,task-first curator 2,1,4,completed,5,4,1,0,3,claude-opus-5,10,9,8,4c9e53fc843e44e7ab1d84244fadb4df6874024976de3f8c6ec91609d71adeee
run-149,T08,opus5,world_first,world-first,2,5,completed,5,4,1,0,3,claude-opus-5,18,18,10,e804e344b9aedd3d71354283f2ef9f659cdeb2a7e8cce3f70604bab6c6fa7992
run-150,T08,opus5,task_first,task-first curator 1,2,6,completed,5,4,1,0,4,claude-opus-5,8,12,11,d68551291e489781a706d44258484eaa07699ac9841ef5a34d05d2c66632fa94
run-151,T08,opus5,world_first,world-first,2,7,completed,5,5,0,0,5,claude-opus-5,26,30,14,01c22ed0b62c4b715c49b857be1b003c52f03c183025ced7ac98fd3ef8369a3d
run-152,T08,opus5,task_first,task-first curator 2,2,8,completed,5,3,2,0,4,claude-opus-5,16,16,11,f362f2c79689496cc072fcf5ab718ef31f35f42e9c45a55b3eacdaf7a78e12b9
run-153,T08,grok,world_first,world-first,1,1,completed,5,4,1,0,3,grok-4.6,22,22,17,fe096ff3fd6c4398557326132bde6a9b728517929d7f9323432ea4fb2e2a13d7
run-154,T08,grok,task_first,task-first curator 2,1,2,completed,5,5,0,0,5,grok-4.6,16,13,12,839161f7150d4ed81ff4ba6ec6711dd25521c5f6e0c823e44123c73cb87b5508
run-155,T08,grok,task_first,task-first curator 1,1,3,completed,5,4,1,0,3,grok-4.6,18,16,15,326fc83ce732050636553b4ac7ca57294f00e82a54e24086e324a695833692c5
run-156,T08,grok,world_first,world-first,1,4,completed,5,3,1,1,3,grok-4.6,21,21,11,a3cd7599505826de153437eeedbdc714127a206088efa59a117b5120af8e5ad6
run-157,T08,grok,world_first,world-first,2,5,completed,5,5,0,0,4,grok-4.6,43,44,8,0be4cdc357daebc22adbe44ef11e8e477fc7028e1a8bdefd79d0534c18c63c74
run-158,T08,grok,task_first,task-first curator 2,2,6,completed,5,4,1,0,4,grok-4.6,21,16,15,e7537149f02cc103b402c1617f0184b5dc74ca213e928d2bb69f2fcfd2de7355
run-159,T08,grok,task_first,task-first curator 1,2,7,completed,5,4,1,0,5,grok-4.6,13,11,10,e444ef330f080f5c8a209c3d41a785a481397e17f763aad5b337c0dd837a3f4a
run-160,T08,grok,world_first,world-first,2,8,completed,5,2,3,0,4,grok-4.6,26,29,8,191bf28ccb098ce1fd0ea3362300a310ab933be80adac7354ec2152aa2a79b84
run-161,T08,sol,task_first,task-first curator 1,1,1,completed,5,4,0,1,2,gpt-5.6-sol,11,12,11,9e15eed9b9f9ee83a16dc32838c1f8e85f7f6698bdbb77735dc630ffb54f286c
run-162,T08,sol,task_first,task-first curator 2,1,2,completed,5,5,0,0,5,gpt-5.6-sol,23,16,15,1eaa2ca9a97aef7702b3a759fab9c8ae6d2e63396ab2744221a302789ceb85c3
run-163,T08,sol,world_first,world-first,1,3,completed,5,5,0,0,4,gpt-5.6-sol,19,40,10,9136b5a9b463d81c5bc81fad63523370ece093a09191ac8908e4525a9d5405b2
run-164,T08,sol,world_first,world-first,1,4,completed,5,3,2,0,4,gpt-5.6-sol,53,42,8,a49b41e63b7eda28970f39496dec4bf2adc4fc742e16bca360ae31f743247cd1
run-165,T08,sol,world_first,world-first,2,5,completed,5,3,2,0,3,gpt-5.6-sol,29,35,13,0a502090eba8153068fd40f7a9c939bb3905d4287fa31897dbfa7e538e181ae9
run-166,T08,sol,task_first,task-first curator 2,2,6,completed,5,5,0,0,3,gpt-5.6-sol,32,30,17,3fd3720cdb61bbbcaa22b302dfd545814444a5d276e946aca27e6729bb185a86
run-167,T08,sol,world_first,world-first,2,7,completed,5,3,2,0,1,gpt-5.6-sol,40,46,8,d11f6dc27b9ef49951235b58a0863512d6d1b3f2bc395e86d123cb25033a3b12
run-168,T08,sol,task_first,task-first curator 1,2,8,completed,5,5,0,0,2,gpt-5.6-sol,14,11,10,b846243ff59256a0d247c49a2a522d9803caa0bc6fd34a617340562b17c0d3dd
run-169,T07,opus5,task_first,task-first curator 2,1,1,completed,5,4,0,1,5,claude-opus-5,17,21,7,cb5cb63554e9451da9901835d08a4924e46961e1fedc503d8c61d366d52c370a
run-170,T07,opus5,world_first,world-first,1,2,completed,5,3,1,1,4,claude-opus-5,27,32,14,7317112a05d946b75a7c4fe6b041fbf53f42aadd3a4843ad59389fe90db0b729
run-171,T07,opus5,task_first,task-first curator 1,1,3,completed,5,5,0,0,5,claude-opus-5,12,14,9,fc08870f95a10598708cf4a599d563a188b40826432530c4348bd67888750e3d
run-172,T07,opus5,world_first,world-first,1,4,completed,5,5,0,0,5,claude-opus-5,29,38,11,d2306b8b6c71fe4e98e6096eb23ab177abbe2c32a8a0674719dd7d00b780f6b5
run-173,T07,opus5,task_first,task-first curator 2,2,5,completed,5,5,0,0,5,claude-opus-5,9,10,9,42e1bd72b5e84d72e858c084e2c3c0036d98ff3e51f003cfe192631f5fe7ae4f
run-174,T07,opus5,world_first,world-first,2,6,completed,5,4,1,0,4,claude-opus-5,26,41,7,f32fc202dbcf2c2b2927ae6fdbf9245e69923c241d3930f9d6f814c0e0a24179
run-175,T07,opus5,world_first,world-first,2,7,completed,5,4,1,0,4,claude-opus-5,16,23,12,8b7cfcf26ba1827cb43409add6d9bcf0c99fc1f3dcf4ae0ab59b7f5e50c48f3d
run-176,T07,opus5,task_first,task-first curator 1,2,8,completed,5,5,0,0,5,claude-opus-5,26,21,7,8226255f794308271e5c220575093e02d6884eca466b27bd0cd733a5c0146836
run-177,T07,grok,task_first,task-first curator 1,1,1,completed,5,4,1,0,3,grok-4.6,13,16,14,13df8ad639f12c87e84c005c767995db6a5a42c29b43f07e703cbb9e30112c06
run-178,T07,grok,world_first,world-first,1,2,completed,5,2,3,0,3,grok-4.6,20,34,7,39c62bb3b14e10413e16764aa08682f19b23fec4e7930bf0cd869975766c2bde
run-179,T07,grok,task_first,task-first curator 2,1,3,completed,5,5,0,0,4,grok-4.6,10,13,8,95ba784af5d27dcc46f8d3196e6d11f5650a19d911abb65575998c3ab99e9d88
run-180,T07,grok,world_first,world-first,1,4,completed,5,5,0,0,4,grok-4.6,22,29,28,105569c7c1787a382084834be41ba6a902008c82703af7657a8e4911ef7b1de0
run-181,T07,grok,world_first,world-first,2,5,completed,5,3,2,0,3,grok-4.6,16,21,12,34730645b8fd54bd630807e214a4a80b2efc2bfb5f5efb9e6a4d5c2212b95460
run-182,T07,grok,world_first,world-first,2,6,completed,5,2,3,0,3,grok-4.6,26,30,10,a5a94e11a538b7b89cc9f2a64fe352db87a040f8253659964957a2300e07f1e4
run-183,T07,grok,task_first,task-first curator 1,2,7,completed,5,5,0,0,4,grok-4.6,13,23,6,ef6f949aca164267c18d365f5bdab8a7719d75d4e60129e90af52ce40d5c190a
run-184,T07,grok,task_first,task-first curator 2,2,8,completed,5,4,1,0,3,grok-4.6,19,18,8,438241e182b9a6cd24d00a81ad01347e8b73ce121781ed6a070f127b9d4d5c8f
run-185,T07,sol,task_first,task-first curator 2,1,1,completed,5,5,0,0,4,gpt-5.6-sol,14,13,8,fc9e95e6bd73029cfa34e43360185fc78c71d426cce524f8fe46ed7f9c92a3e7
run-186,T07,sol,task_first,task-first curator 1,1,2,completed,5,3,2,0,3,gpt-5.6-sol,18,21,6,893256f1b5d1bdf8e3d7c4f4c529ba1ff1533e53c724242db86a410b179db450
run-187,T07,sol,world_first,world-first,1,3,completed,5,5,0,0,4,gpt-5.6-sol,30,36,11,cfee099ffda83fe5d326331af8630b01a6325cc0a3e15dc5f8d5d80e11b332be
run-188,T07,sol,world_first,world-first,1,4,completed,5,3,2,0,3,gpt-5.6-sol,46,42,11,c0a0929cf3683310b2a36a2d28fce85a777ab927ce734eab8256b85931ed4e9e
run-189,T07,sol,world_first,world-first,2,5,completed,5,4,1,0,5,gpt-5.6-sol,24,24,8,c6053bea674d28f7cbe704da393c6d9478ca0cb68b798fe80a86b275796d870e
run-190,T07,sol,task_first,task-first curator 1,2,6,completed,5,5,0,0,4,gpt-5.6-sol,12,16,12,a01c4cd605e3526c282bc85ef4daf6f7e53366d943e36dcd02110834d07fc832
run-191,T07,sol,world_first,world-first,2,7,completed,5,3,2,0,3,gpt-5.6-sol,8,15,8,b9880041cf1e5867d90953512e747445d3b80872d52cb65e31c103c70e4f385d
run-192,T07,sol,task_first,task-first curator 2,2,8,completed,5,5,0,0,4,gpt-5.6-sol,18,21,4,17c7bf6066ee246453bdc31b15ab0560646b67da9f1cd7983d41c6ef1117b0bf
